Messages
"ಅದೊಂದು beautiful name, ಇವತ್ತು ನಿಮ್ಮನ್ನು meet ಮಾಡಿ ಖುಷಿ ಆಯ್ತು [Name]."
"[Name], ಅದೊಂದು wonderful name, ನೀವು ನಮ್ಮ ಜೊತೆ ಇರೋದನ್ನ ಕೇಳಿ ನನಗೆ ತುಂಬಾ ಖುಷಿ ಆಯ್ತು."
ಇವತ್ತು ನಿಮ್ಮ ಜೊತೆ finally connect ಆಗೋಕೆ ತುಂಬಾ ಖುಷಿ ಆಯ್ತು [Name].
"[Name], ಆ name ತುಂಬಾ warm and pleasant ring ಕೊಡುತ್ತೆ, ಅದನ್ನ ಕೇಳೋಕೆ ತುಂಬಾ ಇಷ್ಟ ಆಗುತ್ತೆ."
"[Name], ಅದರ ಹಿಂದೆ beautiful meaning ಇರೋ ಒಂದು name ಅಲ್ವಾ?"
"[Name], ತುಂಬಾ classic and elegant name ಅಲ್ವಾ? Clinic-ಗೆ welcome."
ಇವತ್ತು ನಿಮ್ಮ ಜೊತೆ chat ಮಾಡೋಕೆ opportunity ಸಿಕ್ಕಿದ್ದಕ್ಕೆ ನನಗೆ ತುಂಬಾ ಖುಷಿ ಆಗ್ತಿದೆ [Name].
"ಇವತ್ತು ಇಲ್ಲಿ ನಿಮ್ಮನ್ನು ನೋಡಿ ತುಂಬಾ ಖುಷಿ ಆಯ್ತು [Name], ದಯವಿಟ್ಟು comfortable ಆಗಿರಿ."
ಆ name ತುಂಬಾ peaceful and traditional ಅಂತ ಅನ್ಸುತ್ತೆ [Name].
"[Name], ನಿಮ್ಮ ಹೆಸರು ತುಂಬಾ strong ಮತ್ತು memorable ಆಗಿದೆ."
ನೀವು ನಮ್ಮ conversation start ಮಾಡೋಕೆ ready ಆದಾಗ ನಾನು ಇಲ್ಲಿದ್ದೀನಿ [Name].
"[Name], ಅನ್ನೋ ಹೆಸರು ತುಂಬಾ bright and cheerful ಆಗಿದೆ."
ಇವತ್ತು ಈ session-ಗೆ ನಿಮ್ಮ ಜೊತೆ ಇರೋದು ಖುಷಿ ಆಯ್ತು [Name].
ಆ name ತುಂಬಾ gentle and calming sound ಇದೆ [Name].
"ನನಗೆ ಹೊಸ ಜನರನ್ನ meet ಮಾಡೋದು ತುಂಬಾ ಇಷ್ಟ, ನಿಮ್ಮನ್ನ meet ಮಾಡೋದು ತುಂಬಾ ಖುಷಿ ಆಯ್ತು [Name]."
"[Name], ಈ afternoon ನಿಮ್ಮ ಜೊತೆ sit down ಮಾಡಿ ಮಾತಾಡೋದು ಖುಷಿ ಆಯ್ತು."
ಆ name ತುಂಬಾ positive and pleasant energy carry ಮಾಡುತ್ತೆ [Name].
"[Name], ನಿಮ್ಮ ಹೆಸರು ತುಂಬಾ lovely ಇದೆ, ನಿಜವಾಗ್ಲೂ ಒಂದು pleasure."
"[Name], ಇವತ್ತು ಈ conversation-ಗೆ join ಆಗೋಕೆ ಆಗ್ತಿದ್ದಕ್ಕೆ ನನಗೆ ತುಂಬಾ ಖುಷಿ ಆಯ್ತು."
"[Name], ನಿಮ್ಮ time share ಮಾಡಿದ್ದಕ್ಕೆ ಮತ್ತು ಇವತ್ತು ನನ್ನ ಜೊತೆ ಮಾತಾಡಿದ್ದಕ್ಕೆ thank you."
"[Name], ಎಂತಹ kind and gentle name ಅಲ್ವಾ, ನಿಮಗೆ perfect ಆಗಿ suit ಆಗುತ್ತೆ."
ಇವತ್ತು ನಮ್ಮ care program-ನಲ್ಲಿ ನಿಮ್ಮನ್ನ ನೋಡಿ ನನಗೆ ತುಂಬಾ ಖುಷಿ ಆಯ್ತು [Name].
ಇಷ್ಟೊಂದು nice name ಇರೋ [Name]-ರನ್ನ meet ಮಾಡಿದ್ದು ಖುಷಿ ಆಯ್ತು.
"[Name], ನಿಮ್ಮ ಹೆಸರು ತುಂಬಾ sweet and graceful ಅಲ್ವಾ?"
"[Name], ಇಷ್ಟೊಂದು charming name ಅಲ್ವಾ? ನಿಮ್ಮನ್ನ meet ಮಾಡಿ ತುಂಬಾ ಖುಷಿ ಆಯ್ತು."
ನಿಮ್ಮ name [Name]-ನ unique and beautiful sound ನನಗೆ ತುಂಬಾ ಇಷ್ಟ ಆಯ್ತು.
"ಇವತ್ತು ನನ್ನ ಜೊತೆ introduce ಮಾಡ್ಕೊಂಡ ರೀತಿ ತುಂಬಾ warmly, thanks [Name]."
"[Name], ನಿಮ್ಮ ಹೆಸರು ತುಂಬಾ warm and welcoming ಆಗಿದೆ ಅಲ್ವಾ?"
"[Name], ಈ ಬೆಳಿಗ್ಗೆ ನಮ್ಮ session-ಗೆ ನಿಮ್ಮನ್ನು welcome ಮಾಡೋಕೆ ನನಗೆ ತುಂಬಾ ಖುಷಿ ಆಗ್ತಿದೆ."
"[Name], ನಿಮ್ಮ ಹೆಸರು ತುಂಬಾ vibrant and energetic ಆಗಿದೆ ಅಲ್ವಾ?"
"ನಿಮ್ಮನ್ನ meet ಮಾಡಿ ತುಂಬಾ ಖುಷಿ ಆಯ್ತು [Name], ನಿಮಗೆ ಇಲ್ಲಿ full support ಸಿಗುತ್ತೆ ಅಂತ ನಾನು ಭಾವಿಸ್ತೀನಿ."
ಇವತ್ತು connect ಆಗೋಕೆ ಇಷ್ಟು quiet time ಸಿಕ್ಕಿದ್ದಕ್ಕೆ ನನಗೆ ತುಂಬಾ ಖುಷಿ ಆಯ್ತು [Name].
"ಇಷ್ಟೊಂದು soft and peaceful name, [Name], ಅದನ್ನ ಕೇಳಿದ್ರೆ ನನ್ನ ಮುಖದಲ್ಲಿ ಒಂದು smile ಬರುತ್ತೆ."
ಇವತ್ತು ನಿಮ್ಮ ಜೊತೆ check in ಮಾಡಿದ್ದಕ್ಕೆ ತುಂಬಾ ಖುಷಿ ಆಯ್ತು [Name].
"[Name], ನಮ್ಮ health care family-ಗೆ ನಿಮ್ಮನ್ನು welcome ಮಾಡೋಕೆ ತುಂಬಾ ಖುಷಿ ಆಗ್ತಿದೆ."
"ಆ name-ಗೆ ತುಂಬಾ beautiful and pleasant rhythm ಇದೆ, [Name]."
"[Name], ನಿಮ್ಮ ಹೆಸರು ತುಂಬಾ distinct and lovely ಆಗಿದೆ."
"[Name], ಇವತ್ತು ನಿಮ್ಮ ಜೊತೆ ಕೂತ್ಕೊಂಡು ವಿಷಯಗಳ ಬಗ್ಗೆ ಮಾತಾಡೋಕೆ ಸಿಕ್ಕಿದ್ದು ನನಗೆ ತುಂಬಾ honor."
"ಒಬ್ಬ wonderful person-ಗೆ beautiful name, ನಮ್ಮ clinic-ಗೆ welcome [Name]."
"ಆ name ತುಂಬಾ kind, gentle, and reassuring ಆಗಿ sound ಆಗುತ್ತೆ [Name]."
"ಅದೊಂದು ಹೆಸರು, ನಾನು ಯಾವಾಗಲೂ ಕೇಳೋದನ್ನ enjoy ಮಾಡ್ತೀನಿ, ಇವತ್ತು welcome [Name]."
"[Name], ಈ journey-ನಲ್ಲಿ ನಿಮ್ಮನ್ನ support ಮಾಡೋ chance ಸಿಕ್ಕಿದ್ದಕ್ಕೆ ನಾನು ತುಂಬಾ grateful ಆಗಿದ್ದೀನಿ."
"ನಿಮ್ಮನ್ನ meet ಮಾಡಿ, ಇವತ್ತು ನಿಮ್ಮ routine ಮೂಲಕ guide ಮಾಡೋಕೆ ತುಂಬಾ ಖುಷಿ ಆಗ್ತಿದೆ [Name]."
ಆ name ನಮ್ಮ conversation-ಗೆ wonderful sense of peace ತರುತ್ತೆ [Name].
"[Name], ಇವತ್ತು ನಿಮ್ಮ health care needs-ಗೆ help ಮಾಡೋಕೆ ಸಿಕ್ಕಿದ್ದು ನನಗೆ ತುಂಬಾ privilege."
"[Name], grace and elegance-ಗೋಸ್ಕರ ಆ name ತುಂಬಾ ಚೆನ್ನಾಗಿದೆ."
"[Name], ನಿಮ್ಮನ್ನ check ಮಾಡೋ next few moments spend ಮಾಡೋಕೆ ಆಗ್ತಿದ್ದಕ್ಕೆ ನನಗೆ ತುಂಬಾ ಖುಷಿ ಆಗ್ತಿದೆ."
"[Name], ಅನ್ನೋ ಹೆಸರು ತುಂಬಾ rich and historic tradition ಇರೋ ಹೆಸರು ಅಲ್ವಾ?"
"ಅದು instantly comforting and familiar ಅನ್ನಿಸುವ ಒಂದು name, [Name]."
